store_id, x, yaxis,storetype, ,APPLES, BANANAS,GRAPESG,MELONCA,ORANGES,CARROTS,CELERY,GREENPE,LETTUCE,ONIONS,TOMATOES,POTATOES,ORANGES1,PEACHES,VEGETABL,MUSHROOM,SPAGHETT,TOMATOS,ORANGEJ,BROCCOLI,GREENBE,GREENPE1,FRENCHF,BREADW,BREADW1,HAMBURGE,ROLLSD,FRENCHO,BAGELS,BREADCR,READY_TO,READY_TO1,FLOURW,MACARONI,NOODLES,POPCORN,RICEWH,SPAGHETT1,MILK1_,MILKWH,CHEESE,CHEESE1,CHEESE2,EVAPORAT,BEEFGR,CHICKEN,CHICKEN1,TURKEY,PORKGR,TURKEY1,EGGSGR,FISHFL,TUNAFIS,BEANSG,BEANSK,BEANSB,MARGARIN,SHORTENI,SALADDR,VEGETABL1,SUGARB,SUGARP,SUGARW,JELLYG,MOLASSES,PANCAKE,CHOCOLAT,FRUITDR,FUDGESIC,BAKINGP,BAKINGS,CHILEPO,CINNAMON,CUMIN,ONIONPO,GARLICP,ITALIAN,OREGANO,PAPRIKA,BLACKPE,SALTAN,VANILLA,CHICKEN2,CATSUP,SOYSAUC,LEMONJU,GELATIN,CHOCOLAT1
35,-89.114285,30.369069,convience,0,0,0,3.07198,2.07733,0,0,1.93,0,0,0,1.63463,0,0.720874,1.55268,0,0.784309,0,0,1.806,1.83504,0,0,0,1.746,2.666,1.676,1.882,2.808,0,0,2.924,1.69637,1.872,1.56127,1.44,1.456,0,1.30473,3.994,3.826,0,2.65287,2.93779,1.298,0,0,0,0,0,2.89581,1.772,5.9775,1.076,0.996492,0.904,1.292,1.356,1.19497,2.736,2.966,1.384,1.592,2.826,1.84489,0,2.406,0,2.436,0,0,0.872331,0,0,0,1.658,1.186,1.574,0,0,1.96588,0.504637,3.416,2.034,1.796,1.368,0,1.182,3.984
36,-89.071043,30.391378,convience,0,0,0,0,0,0,0,0,2.624,1.522,1.72371,0,0,0.942901,1.5907,0,0,1.656,0.682692,0,0,0,2.118,0,1.746,0,1.676,1.882,0,0,0,0,0,1.872,1.562,0,0,2.576,1.30392,3.634,3.826,0,0,2.962,1.356,0,2.75,0,2.348,0,2.89609,1.772,0,1.076,0,0,1.352,1.356,2.70512,2.736,2.966,1.584,0,2.826,1.86287,2.7925,2.406,0,2.436,3.178,0,0.938038,0,0.916,0,0,1.186,0,0,2.062,1.96481,0.46062,0,0,1.796,1.21,1.672,1.182,0
37,-89.06211,30.38862,convience,0,1.4213,0.69,0,0,0,0,1.93,0,0,0,0,2.31,0.956423,1.59569,0,0.783826,1.656,0,0,1.8011,2.138,2.118,2.29494,1.746,0,1.676,0,2.808,2.752,1.99,2.924,2.15462,1.872,1.562,1.44,1.356,2.576,1.30393,3.634,3.826,0,0,2.9758,1.356,3.644,0,0,0,0,2.8961,0,0,1.076,0.997975,0.904,1.352,1.356,0,2.736,2.966,1.584,1.792,2.826,1.86476,0,2.406,2.79974,2.436,0,1.83743,0,1.036,0.916,0,1.658,1.186,1.574,2.422,2.062,1.96474,0.485909,3.416,0,1.796,1.21,1.672,0,3.984
38,-89.135779,30.383844,convience,0,0,0,3.04171,0,0,2.00237,0,0,0,1.72371,0,0,0.677736,1.51441,0,0,1.57802,0.682692,0,1.84424,0,2.118,2.36667,1.746,2.666,1.676,0,0,2.752,0,2.924,1.65504,1.872,1.51726,1.44,1.456,0,1.30459,3.994,3.826,3.836,2.64645,2.90855,1.298,3.644,2.75,0,2.316,0,2.89582,1.772,0,1.076,0,0.904,1.292,1.356,0.546538,2.736,2.966,1.384,0,2.826,1.82363,0,2.406,0,2.436,3.178,0,0.855428,1.036,0.916,0,0,1.186,0,0,0,1.96603,0.479269,0,0,1.796,1.368,0,0,3.984
39,-89.09239,30.40921,convience,0,0,0,3.17437,0,0,0,0,0,0,0,1.63463,0,0.742335,1.5461,0,0.783573,1.64735,0.682692,0,0,0,0,2.29699,1.746,2.666,0,1.882,2.808,2.752,1.99,2.924,1.71412,1.872,1.55949,0,0,0,1.30367,3.734,3.826,0,2.60695,0,0,3.644,0,0,0,0,2.89614,0,5.9775,0,0.997664,0.904,1.292,1.356,2.18476,2.736,2.966,1.584,1.792,2.826,1.84658,0,2.406,2.66425,2.436,0,0,0.922859,0,0,3.04379,1.658,0,0,0,0,1.96483,0.414069,3.416,0,1.796,0,1.97,0,3.984
40,-89.04642,30.39163,convience,0,1.40712,0,0,0,0,0,1.93,2.87,0,0,0,0,0.959904,1.95553,0,0,2.38712,0,0,1.68671,0,2.118,0,2.402,2.794,2.272,1.882,0,2.752,0,4.3,2.8144,2.04,1.47,1.44,1.356,0,1.40139,3.634,3.802,0,2.62292,2.9949,0,0,0,0,2.348,0,2.91432,1.772,0,1.482,0,0.904,0,0,0,3.182,3.594,1.584,1.792,3.422,2.6653,0,2.406,2.80461,2.692,3.178,1.702,0,0,0.916,3.04611,1.658,1.186,0,2.422,0,2.04103,0.601333,3.416,0,2.588,1.21,1.672,0,3.114
41,-89.08101,30.427672,convience,0,1.43062,0,0,0,0,0,0,2.624,1.522,1.72371,1.63463,0,0.926126,1.57587,0.842,0.783383,1.62967,0,1.806,1.79663,2.138,2.118,0,1.746,2.666,1.676,0,0,0,0,2.924,2.05556,1.872,0,1.44,0,2.59147,1.30329,0,3.826,3.836,0,0,1.356,0,2.75,0,0,0,2.89628,0,0,1.076,0.99823,0,1.292,0,0,2.736,2.966,0,1.792,2.826,1.87003,0,2.406,2.79281,2.436,0,0,0.916979,0,0.916,3.04399,1.658,1.186,1.574,0,0,1.96436,0.422933,0,0,1.796,0,1.672,0,3.984
42,-89.0021,30.40072,convience,0,0,0,3.04098,0,3.098,0,0,2.87,0,1.524,0,0,0.957451,1.97746,0,0,2.38712,0,1.744,1.6494,2.138,0,0,0,2.794,2.272,1.882,0,2.752,0,3.302,3.0735,0,1.66,0,1.356,0,1.40185,3.634,3.802,3.836,0,0,1.356,0,2.75,1.65,2.35,0,0,1.772,5.714,1.482,0.998789,0.904,0,1.356,0,3.542,3.594,1.584,0,2.762,2.66716,2.7925,0,0,2.692,3.178,1.702,0,0,0.916,0,0,1.186,0,0,0,2.04099,0.853765,1.418,1.696,1.988,1.21,0,1.182,0
43,-89.075058,30.449589,convience,0,0,0,0,0,0,2.23851,1.93,0,0,0,0,0,0,1.59208,0,0.783208,0,0,0,0,0,2.118,0,1.746,0,1.676,0,0,0,1.99,2.924,2.09254,1.872,1.55391,1.44,0,0,0,3.634,3.826,3.836,0,2.98854,1.356,0,0,0,0,0,2.8964,0,0,1.076,0.998644,0.904,1.292,1.356,0,2.736,2.966,1.584,1.792,2.826,1.88692,0,2.406,2.79458,0,0,0,0,1.036,0.916,0,1.658,1.186,1.574,0,0,1.96398,0.46359,0,0,1.796,1.21,0,1.182,3.984
44,-89.054358,30.449675,convience,0,1.40443,0,3.1693,0,3.098,2.2945,1.93,2.87,0,0,0,0,0,1.66217,0.842,0.783231,1.82176,0.506965,0,1.67569,0,0,2.23542,2.034,2.794,2.004,0,2.808,2.752,1.99,3.552,0,2.054,0,1.44,0,2.96101,0,3.634,3.694,3.836,2.57889,0,1.356,3.644,2.75,1.65,0,2.14712,0,1.772,0,1.244,0.999259,0.904,0,1.356,4.54707,3.134,3.594,0,1.792,2.974,2.36086,0,2.406,2.80053,2.274,3.178,1.702,0,0.980699,0,0,0,1.54868,0,0,0,0,0.397986,3.416,1.696,2.19,0,1.672,0,4.292
