Food_Item,Food_coded,AVE,STD,MIN,MAX,CNT,grocery,Conv - Percent Missing,superstore -Percent Missing,GroceryAvg,ConvAvg,superstoreAvg,
"Sugar,_brown_(dark_or_light)",SUGARB,1.626451613,0.744501823,0.4,4.49,32,0.153846,0.363636,0.142857,1.380909091,,,
"Sugar,_powdered",SUGARP,1.798214286,1.009238239,0.74,6.19,29,0.153846,0.409091,0.285714,1.494545455,,,
"Sugar,_white,_granulated",SUGARW,2.846578947,1.059485654,0.59,6.09,39,0.076923,0.090909,0.142857,2.3725,,,
"Jelly,_grape",JELLYG,2.3025,0.836741768,1,4.49,37,0.307692,0.045455,0.142857,1.776666667,,,
"Molasses,_any_type",MOLASSES,2.858333333,0.408571621,2.34,3.29,13,0.538462,0.81818,0.571429,2.825,,,
"Pancake_syrup,_any_type",PANCAKE,3.037675676,3.119057859,0.03,16.19,38,0.000000,0.227273,0.000000,1.943230769,,,
"Chocolate_chips,_semi-sweet",CHOCOLAT,2.6216,0.431222234,1.25,3.69,26,0.307692,0.409091,0.571429,2.528888889,,,
"Fruit_drink,_refrigerated,_any_flavor",FRUITDR,2.645424242,3.164105294,0.019,19.56,34,0.230769,0.181818,0.285714,1.641,,,
"Fudgesicles,_ice_milk",FUDGESIC,2.583809524,0.780241943,0.89,4,22,0.384615,0.545455,0.428571,2.5625,,,
Baking_powder,BAKINGP,1.793571429,0.749180138,0.89,3.68,14,0.461538,0.681818,0.285714,1.76,,,
Baking_soda,BAKINGS,1.032,0.657745519,0.028,2.99,30,0.076923,0.363636,0.285714,0.911666667,,,
Chile_powder,CHILEPO,1.511363636,1.099304128,0.22,5.1,23,0.153846,0.500000,0.285714,1.092727273,,,
Cinnamon,CINNAMON,1.479047619,0.941475424,0.23,3.19,22,0.153846,0.454545,0.571429,1.221818182,,,
Cumin,CUMIN,2.76952381,1.085096999,0.99,5.31,22,0.384615,0.545455,0.428571,2.51875,,,
Onion_powder,ONIONPO,1.665789474,1.187509003,0.19,3.59,20,0.153846,0.500000,0.714286,1.25,,,
Garlic_powder,GARLICP,1.643928571,1.32868875,0.2,6.39,29,0.153846,0.363636,0.571429,1.149090909,,,
Italian_herb_seasoning,ITALIAN,2.549090909,2.719056742,0.5,8.54,23,0.153846,0.545455,0.285714,2.236363636,,,
Oregano,OREGANO,2.308846154,1.120124128,0.59,4.99,27,0.076923,0.590909,0.285714,2.285833333,,,
Paprika,PAPRIKA,2.189047619,1.700049719,0.24,6.82,22,0.230769,0.545455,0.428571,1.749,,,
"Black_pepper,_ground",BLACKPE,2.160526316,1.30301027,0.32,7.95,39,0.153846,0.090909,0.000000,1.628181818,,,
"Salt,_any_type",SALTAN,0.784305556,0.621637683,0.015,2.99,37,0.076923,0.090909,0.142857,0.6575,,,
"Vanilla,_any_type",VANILLA,4.125,4.404699517,0.43,15.87,29,0.230769,0.409091,0.285714,4.0765,,,
"Chicken_bouillon,_reduced_sodium,_cubes",CHICKEN2,1.904285714,1.284011571,0.19,6.59,21,0.230769,0.545455,0.857143,2.185,,,
"Catsup,_any_type",CATSUP,1.834736842,1.025336586,0.03,4.99,39,0.000000,0.000000,0.428571,1.781538462,,,
"Soy_sauce,_reduced_sodium",SOYSAUC,5.100258065,18.26356426,0.078,105,32,0.153846,0.272727,0.285714,1.694545455,,,
"Lemon_juice,_bottled",LEMONJU,1.9776,0.634255954,0.77,3.59,26,0.307692,0.363636,0.571429,1.938888889,,,
"Gelatin,_powdered,_unflavored",GELATIN,1.285555556,0.388359121,0.39,2.19,19,0.461538,0.545455,0.714286,1.298571429,,,
"Chocolate_drink_mix,_powdered",CHOCOLAT1,3.605185185,1.827713283,0.15,8.99,28,0.076923,0.409091,0.571429,4.004166667,,,
