ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_tota,Total_BusL,Total_time
11159,STORE-67 - STORE-161,67,161,137,60.94504432660,8.86308187120,6.09450439298
11155,STORE-67 - STORE-162,67,162,133,59.27231692890,8.86308187120,5.92723165993
11180,STORE-67 - STORE-163,67,163,158,78.42726518290,8.86308187120,7.84272644237
11152,STORE-67 - STORE-164,67,164,130,58.98264968700,8.86308187120,5.89826493706
11151,STORE-67 - STORE-165,67,165,129,58.71190384120,8.86308187120,5.87119035333
11146,STORE-67 - STORE-166,67,166,124,57.48289700180,19.16426239040,5.74828955130
11048,STORE-67 - STORE-167,67,167,26,4.28845488782,5.01555899441,0.42884548647
11298,STORE-68 - STORE-1,68,1,109,55.83428070930,5.80522241090,5.58342807134
11297,STORE-68 - STORE-2,68,2,108,54.69501914820,5.80522241090,5.46950190151
11299,STORE-68 - STORE-3,68,3,110,56.16606155830,5.80522241090,5.61660613706
11353,STORE-68 - STORE-4,68,4,164,95.75983253370,5.80522241090,9.57598315702
11301,STORE-68 - STORE-5,68,5,112,57.32202487750,5.80522241090,5.73220246427
11224,STORE-68 - STORE-6,68,6,35,13.50032348170,14.92890173260,1.35003233493
11239,STORE-68 - STORE-7,68,7,50,15.56537241100,18.39909240550,1.55653722742
11233,STORE-68 - STORE-8,68,8,44,14.88293957990,17.45983985290,1.48829394519
11237,STORE-68 - STORE-9,68,9,48,15.44992560620,17.21894042600,1.54499255129
11273,STORE-68 - STORE-10,68,10,84,23.56743927700,20.34888566220,2.35674390834
11276,STORE-68 - STORE-11,68,11,87,24.23800220450,20.34888566220,2.42380019998
11220,STORE-68 - STORE-12,68,12,31,12.70609440720,13.18488279860,1.27060942710
11218,STORE-68 - STORE-13,68,13,29,12.57903086620,13.04421178750,1.25790307323
11277,STORE-68 - STORE-14,68,14,88,24.43019501510,20.34888566220,2.44301948588
11271,STORE-68 - STORE-15,68,15,82,22.92816396640,12.35475276350,2.29281638055
11216,STORE-68 - STORE-16,68,16,27,12.28923815150,12.35475276350,1.22892380190
11283,STORE-68 - STORE-17,68,17,94,28.91008162230,22.11252951900,2.89100815466
11282,STORE-68 - STORE-18,68,18,93,28.78420026910,8.50779552221,2.87842003208
11285,STORE-68 - STORE-19,68,19,96,29.36306057670,8.50779552221,2.93630606409
11217,STORE-68 - STORE-20,68,20,28,12.42889085450,12.35475276350,1.24288907196
11231,STORE-68 - STORE-21,68,21,42,14.82754960540,17.29966337200,1.48275494674
11230,STORE-68 - STORE-22,68,22,41,14.74611816560,17.15653969200,1.47461180363
11222,STORE-68 - STORE-23,68,23,33,13.17965229460,14.25775198020,1.31796521597
11210,STORE-68 - STORE-24,68,24,21,11.49370425010,10.91566324290,1.14937041152
11311,STORE-68 - STORE-25,68,25,122,63.73073688740,0.15814961513,6.37307369576
11309,STORE-68 - STORE-26,68,26,120,63.70391128400,0.15814961513,6.37039113491
11310,STORE-68 - STORE-27,68,27,121,63.70391128400,0.15814961513,6.37039113491
11247,STORE-68 - STORE-28,68,28,58,16.58807328410,19.47262219860,1.65880731471
